fingerprint,rec_id,asof,strategy_version,universe,horizon_d,symbol,weight,buy_price,mature_date,exit_price,actual_ret,holding_days,holding_months,rank,universe_n,hit_top25,regime,scored,source
REC-20220103-0037,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,TCS,0.0731,3817.75,2022-04-05,3814.8,-0.08,63,3.0,95.0,221.0,0.0,Strong,1,historical
REC-20220103-0038,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,INFY,0.0758,1898.45,2022-04-05,1861.1,-1.97,63,3.0,106.0,221.0,0.0,Strong,1,historical
REC-20220103-0039,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,ULTRACEMCO,0.0402,7723.9,2022-04-05,6726.15,-12.92,63,3.0,186.0,221.0,0.0,Strong,1,historical
REC-20220103-0040,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,PIDILITIND,0.0891,1236.98,2022-04-05,1253.83,1.36,63,3.0,86.0,221.0,0.0,Strong,1,historical
REC-20220103-0041,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,MGL,0.0422,876.0,2022-04-05,828.65,-5.41,63,3.0,136.0,221.0,0.0,Strong,1,historical
REC-20220103-0042,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,LT,0.0474,1922.85,2022-04-05,1836.05,-4.51,63,3.0,129.0,221.0,0.0,Strong,1,historical
REC-20220103-0043,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,AIAENG,0.0758,1855.75,2022-04-05,1701.8,-8.3,63,3.0,154.0,221.0,0.0,Strong,1,historical
REC-20220103-0044,2022-01-03_63,2022-01-03,AEGIS Core v2.2 (2026-06-22),nifty200,63,SHREECEM,0.0348,27247.4,2022-04-05,25157.9,-7.67,63,3.0,150.0,221.0,0.0,Strong,1,historical
REC-20220405-0045,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,NESTLEIND,0.0999,901.16,2022-07-06,919.44,2.03,63,3.0,36.0,221.0,1.0,Neutral,1,historical
REC-20220405-0046,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,COLPAL,0.0808,1586.7,2022-07-06,1569.15,-1.11,63,3.0,51.0,221.0,1.0,Neutral,1,historical
