rec_id,asof,horizon_d,symbol,weight,mature_date,actual_ret,rank,universe_n,hit_top25,scored,source
2022-07-06_63,2022-07-06,63,SUPREMEIND,0.0911,2022-10-07,13.71,95.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,CUMMINSIND,0.0604,2022-10-07,12.22,103.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,POWERGRID,0.0784,2022-10-07,-0.5,182.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,EXIDEIND,0.0323,2022-10-07,10.86,108.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,IRFC,0.1217,2023-01-06,53.16,4.0,223.0,1.0,1,historical
2022-10-07_63,2022-10-07,63,NESTLEIND,0.0724,2023-01-06,2.92,93.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,PFC,0.0636,2023-01-06,49.74,5.0,223.0,1.0,1,historical
2022-10-07_63,2022-10-07,63,ITC,0.0762,2023-01-06,0.28,112.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,RELAXO,0.0606,2023-01-06,-11.31,183.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,ALKEM,0.0911,2023-01-06,-5.28,152.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,IOC,0.058,2023-01-06,18.68,22.0,223.0,1.0,1,historical
2022-10-07_63,2022-10-07,63,SJVN,0.0742,2023-01-06,5.35,78.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,RVNL,0.0513,2023-01-06,101.25,1.0,223.0,1.0,1,historical
2022-10-07_63,2022-10-07,63,DRREDDY,0.0573,2023-01-06,-2.4,134.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,BHARTIARTL,0.0528,2023-01-06,0.37,111.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,PIDILITIND,0.0597,2023-01-06,-5.27,151.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,BAJAJ-AUTO,0.063,2023-01-06,1.07,105.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,ATUL,0.0493,2023-01-06,-12.04,191.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,HCLTECH,0.0488,2023-01-06,7.84,64.0,223.0,0.0,1,historical
2023-01-06_63,2023-01-06,63,PETRONET,0.0713,2023-04-12,6.22,56.0,224.0,1.0,1,historical
2023-01-06_63,2023-01-06,63,TORNTPHARM,0.1048,2023-04-12,2.66,80.0,224.0,0.0,1,historical
2023-01-06_63,2023-01-06,63,BAJAJ-AUTO,0.0697,2023-04-12,17.67,9.0,224.0,1.0,1,historical
2023-01-06_63,2023-01-06,63,ITC,0.0663,2023-04-12,19.38,7.0,224.0,1.0,1,historical
2023-01-06_63,2023-01-06,63,ALKEM,0.0976,2023-04-12,10.2,34.0,224.0,1.0,1,historical
2023-01-06_63,2023-01-06,63,UBL,0.0638,2023-04-12,-16.52,207.0,224.0,0.0,1,historical
2023-01-06_63,2023-01-06,63,PIDILITIND,0.0715,2023-04-12,-6.92,144.0,224.0,0.0,1,historical
2023-01-06_63,2023-01-06,63,IOC,0.0697,2023-04-12,-2.56,113.0,224.0,0.0,1,historical
2023-01-06_63,2023-01-06,63,ICICIBANK,0.0462,2023-04-12,2.3,85.0,224.0,0.0,1,historical
2023-01-06_63,2023-01-06,63,BHARTIARTL,0.0689,2023-04-12,-3.13,119.0,224.0,0.0,1,historical
2023-01-06_63,2023-01-06,63,HDFCBANK,0.0406,2023-04-12,5.68,61.0,224.0,0.0,1,historical
2023-01-06_63,2023-01-06,63,LT,0.0393,2023-04-12,9.68,37.0,224.0,1.0,1,historical
2023-01-06_63,2023-01-06,63,OFSS,0.0662,2023-04-12,10.55,31.0,224.0,1.0,1,historical
2023-01-06_63,2023-01-06,63,TCS,0.0431,2023-04-12,0.94,92.0,224.0,0.0,1,historical
2023-01-06_63,2023-01-06,63,RELAXO,0.081,2023-04-12,-9.2,167.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,COLPAL,0.0864,2023-07-13,16.26,101.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,TATACONSUM,0.0748,2023-07-13,16.51,101.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,OFSS,0.0689,2023-07-13,16.01,104.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,TORNTPHARM,0.0676,2023-07-13,21.85,70.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,SUNPHARMA,0.0663,2023-07-13,5.73,170.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,WIPRO,0.0593,2023-07-13,6.07,167.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,PIDILITIND,0.0717,2023-07-13,11.55,133.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,ICICIGI,0.068,2023-07-13,24.31,54.0,224.0,1.0,1,historical
2023-04-12_63,2023-04-12,63,BATAINDIA,0.0705,2023-07-13,19.13,85.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,KOTAKBANK,0.0783,2023-07-13,1.41,191.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,MARUTI,0.0593,2023-07-13,12.18,129.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,GRASIM,0.0618,2023-07-13,2.47,187.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,ASIANPAINT,0.0548,2023-07-13,22.01,69.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,NTPC,0.0577,2023-07-13,7.11,161.0,224.0,0.0,1,historical
2023-04-12_63,2023-04-12,63,BHARTIARTL,0.0545,2023-07-13,14.76,112.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,SUNDARMFIN,0.1058,2023-10-13,24.9,35.0,224.0,1.0,1,historical
2023-07-13_63,2023-07-13,63,COLPAL,0.0671,2023-10-13,12.82,80.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,ICICIBANK,0.0754,2023-10-13,-0.54,173.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,SUNPHARMA,0.0793,2023-10-13,6.54,126.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,PIDILITIND,0.0491,2023-10-13,-6.07,206.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,BATAINDIA,0.0555,2023-10-13,-2.06,183.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,MARUTI,0.0555,2023-10-13,10.92,92.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,BHARTIARTL,0.0895,2023-10-13,7.83,115.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,WIPRO,0.0698,2023-10-13,4.13,139.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,TCS,0.0581,2023-10-13,6.78,122.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,NESTLEIND,0.0494,2023-10-13,3.21,149.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,NTPC,0.0851,2023-10-13,28.54,22.0,224.0,1.0,1,historical
2023-07-13_63,2023-07-13,63,MRF,0.0469,2023-10-13,7.79,116.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,GRASIM,0.0702,2023-10-13,12.66,83.0,224.0,0.0,1,historical
2023-07-13_63,2023-07-13,63,ASIANPAINT,0.0434,2023-10-13,-7.39,211.0,224.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,ICICIBANK,0.0817,2024-01-15,6.15,164.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,HINDUNILVR,0.0613,2024-01-15,0.15,186.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,NESTLEIND,0.0604,2024-01-15,8.16,154.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,BHARTIARTL,0.0732,2024-01-15,15.53,118.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,ASIANPAINT,0.0549,2024-01-15,3.97,174.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,TCS,0.0623,2024-01-15,9.32,149.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,LICI,0.0824,2024-01-15,34.69,37.0,225.0,1.0,1,historical
2023-10-13_63,2023-10-13,63,SUNPHARMA,0.072,2024-01-15,16.07,114.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,TITAN,0.0715,2024-01-15,14.47,126.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,PIDILITIND,0.0534,2024-01-15,11.96,140.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,RELIANCE,0.06,2024-01-15,18.68,103.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,ULTRACEMCO,0.0695,2024-01-15,18.95,99.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,MARUTI,0.06,2024-01-15,-5.97,214.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,MRF,0.0696,2024-01-15,24.54,72.0,225.0,0.0,1,historical
2023-10-13_63,2023-10-13,63,ABBOTINDIA,0.0677,2024-01-15,17.5,107.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,HINDUNILVR,0.0859,2024-04-18,-13.93,208.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,SUNPHARMA,0.0594,2024-04-18,14.07,65.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,MARUTI,0.0832,2024-04-18,22.98,40.0,225.0,1.0,1,historical
2024-01-15_63,2024-01-15,63,HDFCBANK,0.0581,2024-04-18,-10.65,195.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,VINATIORGA,0.0937,2024-04-18,-4.87,162.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,RELIANCE,0.0569,2024-04-18,5.04,102.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,ICICIBANK,0.0575,2024-04-18,4.52,106.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,TITAN,0.0818,2024-04-18,-6.22,174.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,BRITANNIA,0.0669,2024-04-18,-9.32,190.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,BHARTIARTL,0.0546,2024-04-18,14.82,61.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,ASIANPAINT,0.0656,2024-04-18,-14.24,212.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,MRF,0.0763,2024-04-18,-4.98,164.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,GRASIM,0.0489,2024-04-18,5.95,98.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,TCS,0.0635,2024-04-18,-1.07,137.0,225.0,0.0,1,historical
2024-01-15_63,2024-01-15,63,HINDZINC,0.0478,2024-04-18,25.86,28.0,225.0,1.0,1,historical
2024-04-18_63,2024-04-18,63,HINDUNILVR,0.0737,2024-07-19,23.13,51.0,225.0,1.0,1,historical
2024-04-18_63,2024-04-18,63,ASIANPAINT,0.0663,2024-07-19,4.93,163.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,BATAINDIA,0.054,2024-07-19,13.42,111.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,KOTAKBANK,0.0502,2024-07-19,1.95,180.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,ITC,0.0934,2024-07-19,15.33,97.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,ICICIBANK,0.0488,2024-07-19,18.3,79.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,SUNPHARMA,0.0833,2024-07-19,3.45,171.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,RELIANCE,0.0497,2024-07-19,6.2,154.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,VINATIORGA,0.0911,2024-07-19,17.62,84.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,MARUTI,0.0792,2024-07-19,0.96,183.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,DRREDDY,0.0773,2024-07-19,11.4,128.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,BHARTIARTL,0.074,2024-07-19,15.48,96.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,ULTRACEMCO,0.0405,2024-07-19,19.99,63.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,TCS,0.0742,2024-07-19,11.4,127.0,225.0,0.0,1,historical
2024-04-18_63,2024-04-18,63,GRASIM,0.0442,2024-07-19,23.22,49.0,225.0,1.0,1,historical
2024-07-19_63,2024-07-19,63,ITC,0.0686,2024-10-18,2.56,106.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,ASIANPAINT,0.0639,2024-10-18,1.56,119.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,BATAINDIA,0.0639,2024-10-18,-3.86,161.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,HINDUNILVR,0.0839,2024-10-18,-0.36,140.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,INFY,0.0703,2024-10-18,4.83,91.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,SUNPHARMA,0.0556,2024-10-18,21.78,24.0,225.0,1.0,1,historical
2024-07-19_63,2024-07-19,63,SBICARD,0.0796,2024-10-18,3.0,103.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,DRREDDY,0.0565,2024-10-18,1.58,117.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,PIIND,0.0915,2024-10-18,18.91,32.0,225.0,1.0,1,historical
2024-07-19_63,2024-07-19,63,TCS,0.0641,2024-10-18,-4.17,164.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,HDFCBANK,0.078,2024-10-18,4.64,93.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,PIDILITIND,0.0733,2024-10-18,1.57,118.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,APOLLOHOSP,0.0472,2024-10-18,9.42,70.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,MRF,0.0519,2024-10-18,1.03,123.0,225.0,0.0,1,historical
2024-07-19_63,2024-07-19,63,EICHERMOT,0.0516,2024-10-18,-1.75,149.0,225.0,0.0,1,historical
2024-10-18_63,2024-10-18,63,RELAXO,0.0982,2025-01-20,-26.05,218.0,225.0,0.0,1,historical
2024-10-18_63,2024-10-18,63,SUNPHARMA,0.0847,2025-01-20,-6.91,97.0,225.0,0.0,1,historical
2024-10-18_63,2024-10-18,63,DRREDDY,0.0908,2025-01-20,-3.4,66.0,225.0,0.0,1,historical
2024-10-18_63,2024-10-18,63,NESTLEIND,0.0628,2025-01-20,-5.8,86.0,225.0,0.0,1,historical
2024-10-18_63,2024-10-18,63,APOLLOHOSP,0.0654,2025-01-20,-2.89,63.0,225.0,0.0,1,historical
2024-10-18_63,2024-10-18,63,ITC,0.0614,2025-01-20,-4.33,76.0,225.0,0.0,1,historical
2024-10-18_63,2024-10-18,63,TCS,0.0619,2025-01-20,-1.1,53.0,225.0,1.0,1,historical
2024-10-18_63,2024-10-18,63,SBICARD,0.0683,2025-01-20,2.88,36.0,225.0,1.0,1,historical
2024-10-18_63,2024-10-18,63,PIDILITIND,0.0581,2025-01-20,-12.44,143.0,225.0,0.0,1,historical
2024-10-18_63,2024-10-18,63,ASIANPAINT,0.0569,2025-01-20,-23.78,213.0,225.0,0.0,1,historical
2024-10-18_63,2024-10-18,63,INFY,0.0547,2025-01-20,-3.53,68.0,225.0,0.0,1,historical
2024-10-18_63,2024-10-18,63,SHREECEM,0.0797,2025-01-20,3.37,33.0,225.0,1.0,1,historical
2024-10-18_63,2024-10-18,63,MRF,0.0528,2025-01-20,-12.1,140.0,225.0,0.0,1,historical
2024-10-18_63,2024-10-18,63,EICHERMOT,0.0521,2025-01-20,5.27,24.0,225.0,1.0,1,historical
2024-10-18_63,2024-10-18,63,KOTAKBANK,0.0521,2025-01-20,2.64,37.0,225.0,1.0,1,historical
2025-01-20_63,2025-01-20,63,SUNPHARMA,0.0919,2025-04-24,1.44,107.0,225.0,0.0,1,historical
2025-01-20_63,2025-01-20,63,ITC,0.0678,2025-04-24,-1.75,129.0,225.0,0.0,1,historical
2025-01-20_63,2025-01-20,63,NESTLEIND,0.0638,2025-04-24,9.9,52.0,225.0,1.0,1,historical
2025-01-20_63,2025-01-20,63,ICICIBANK,0.057,2025-04-24,13.77,33.0,225.0,1.0,1,historical
2025-01-20_63,2025-01-20,63,HDFCBANK,0.0643,2025-04-24,16.08,22.0,225.0,1.0,1,historical
2025-01-20_63,2025-01-20,63,MRF,0.0989,2025-04-24,14.18,30.0,225.0,1.0,1,historical
2025-01-20_63,2025-01-20,63,DRREDDY,0.0782,2025-04-24,-7.82,166.0,225.0,0.0,1,historical
2025-01-20_63,2025-01-20,63,RELIANCE,0.0421,2025-04-24,-0.29,119.0,225.0,0.0,1,historical
2025-01-20_63,2025-01-20,63,PIDILITIND,0.0658,2025-04-24,10.35,49.0,225.0,1.0,1,historical
2025-01-20_63,2025-01-20,63,BHARTIARTL,0.0566,2025-04-24,12.46,38.0,225.0,1.0,1,historical
2025-01-20_63,2025-01-20,63,TITAN,0.046,2025-04-24,0.01,115.0,225.0,0.0,1,historical
2025-01-20_63,2025-01-20,63,TCS,0.0796,2025-04-24,-16.58,210.0,225.0,0.0,1,historical
2025-01-20_63,2025-01-20,63,APOLLOHOSP,0.0634,2025-04-24,5.58,82.0,225.0,0.0,1,historical
2025-01-20_63,2025-01-20,63,ULTRACEMCO,0.036,2025-04-24,14.44,29.0,225.0,1.0,1,historical
2025-01-20_63,2025-01-20,63,RATNAMANI,0.0886,2025-04-24,-9.69,183.0,225.0,0.0,1,historical
2025-04-24_63,2025-04-24,63,ITC,0.0918,2025-07-23,-3.51,190.0,225.0,0.0,1,historical
2025-04-24_63,2025-04-24,63,NESTLEIND,0.073,2025-07-23,0.79,155.0,225.0,0.0,1,historical
2025-04-24_63,2025-04-24,63,ICICIBANK,0.066,2025-07-23,6.12,107.0,225.0,0.0,1,historical
2025-04-24_63,2025-04-24,63,HDFCBANK,0.0759,2025-07-23,5.61,111.0,225.0,0.0,1,historical
2025-04-24_63,2025-04-24,63,PIDILITIND,0.0706,2025-07-23,-5.12,201.0,225.0,0.0,1,historical
2025-04-24_63,2025-04-24,63,MRF,0.0558,2025-07-23,15.39,33.0,225.0,1.0,1,historical
2025-04-24_63,2025-04-24,63,AIAENG,0.0652,2025-07-23,5.78,109.0,225.0,0.0,1,historical
2025-04-24_63,2025-04-24,63,MARUTI,0.0656,2025-07-23,6.16,106.0,225.0,0.0,1,historical
2025-04-24_63,2025-04-24,63,RELIANCE,0.0502,2025-07-23,9.45,67.0,225.0,0.0,1,historical
2025-04-24_63,2025-04-24,63,TORNTPHARM,0.0768,2025-07-23,6.87,97.0,225.0,0.0,1,historical
2025-04-24_63,2025-04-24,63,SUNPHARMA,0.0582,2025-07-23,-6.73,207.0,225.0,0.0,1,historical
2025-04-24_63,2025-04-24,63,ASIANPAINT,0.0494,2025-07-23,-3.61,194.0,225.0,0.0,1,historical
