cash_annual,cost_bps,candidate,cagr_full,sharpe_full,max_dd_full,ulcer_full,cvar5_full,avg_exp,cagr_disc,max_dd_disc,ulcer_disc,cagr_conf,max_dd_conf,ulcer_conf,cvar5_conf,dsr,weak_cagr,weak_dd,weak_ulcer
0.0,50,B,0.12349519138036191,1.2825915453862433,-0.15819860909935868,6.191068489209499,-0.013857931303355572,0.7336907894736843,0.21097523169506172,-0.15819860909935868,4.99842051745133,0.03368674760675017,-0.11820928012209353,7.286092911087107,-0.011833796082804847,0.7512475311949379,0.0716156651239932,-0.05531579190426417,2.024710961103216
0.0,50,C,0.12879940246308075,1.3000201754677063,-0.15546337289663448,5.890557165095771,-0.014065372603318754,0.7660116959064328,0.21555299262691663,-0.15546337289663437,4.724993544251458,0.039648738238427184,-0.12524314667089786,6.955792025047063,-0.012648081134086001,0.7630331153894427,0.08554154543626113,-0.07294767451253026,2.2376439015768796
0.0,50,D,0.1558823291441922,1.4046479828440606,-0.15622138586049295,5.133121434542579,-0.015403801006436603,0.85,0.24266049637366782,-0.14424902381821147,4.681461500193854,0.06655080709073524,-0.15622138586049306,5.588118891741443,-0.014555872191143255,0.8270817578393497,,,
0.06,15,N0,0.1469024214066854,1.4623500290470726,-0.15544524395341774,5.182911305999842,-0.014088735473360973,0.7669473684210527,0.23130337160828685,-0.15544524395341763,4.590964464324525,0.05989137883453166,-0.11736969584078061,5.765640083340519,-0.01252934592464712,0.8548790032132572,0.12286449933733223,-0.07077311673073472,1.8701364378448548
0.06,15,A,0.14891260669725237,1.427423298219826,-0.15544524395341774,5.157403824998067,-0.014601324476462039,0.8022171052631579,0.23413177241030025,-0.15544524395341763,4.545013287812204,0.061108344862088826,-0.1314107533773975,5.757836123597741,-0.01358630476861727,0.8378741393153244,0.17779902349740806,-0.054266787979736386,1.789073605824439
0.06,15,B,0.14503109030278627,1.4870198896679148,-0.15544524395341774,5.2296719199635575,-0.013780224002086802,0.7336907894736843,0.22846686222559587,-0.15544524395341763,4.644252438828562,0.05895399581481864,-0.10676053581743505,5.8071370003879235,-0.011703058152923664,0.8659951029946407,0.11739140688814209,-0.05279800304290316,1.4284005341643935
0.06,15,C,0.14757169913116086,1.472951196146871,-0.15197118817204625,5.078008573204424,-0.013997240924078669,0.7660116959064328,0.23258966915194934,-0.15197118817204625,4.367511439292379,0.059967114529638765,-0.11736969584078061,5.761609436936111,-0.012529345924647117,0.8599345831888059,0.12294425821935584,-0.07077311673073472,1.8726315775766926
0.06,15,D,0.16574116076496193,1.4854487182968577,-0.15281902925275892,4.882988768482915,-0.01535071392467058,0.85,0.2530704461993616,-0.14117622258978424,4.4793335436327375,0.075828008113217,-0.15281902925275903,5.29149485675248,-0.014504934093976938,0.8673820546619948,,,
0.06,30,N0,0.14539106807129198,1.4484355657201908,-0.15569868641296947,5.25760857580024,-0.0140927674538636,0.7669473684210527,0.22989666264050146,-0.15569868641296936,4.619366827700575,0.05828826385593877,-0.118554064010163,5.881911225248846,-0.012560635556732752,0.8481222927089338,0.12082551218840365,-0.07077311673073494,1.8858492653858923
0.06,30,A,0.14771007756402055,1.4167966467490511,-0.15569868641296947,5.207940072288536,-0.014601324476462037,0.8022171052631579,0.23287288831839614,-0.15569868641296936,4.57039169308106,0.05996634415493163,-0.1323516793481705,5.830995894374567,-0.013592071828740261,0.8323226619512137,0.17621875763612915,-0.05500769975476982,1.818251491539892
0.06,30,B,0.143188786800734,1.4694852775551994,-0.15569868641296947,5.318868608751878,-0.013795909222423824,0.7336907894736843,0.22691298037697472,-0.15569868641296936,4.676069758863435,0.05684550758674223,-0.10783277852975148,5.947931894712168,-0.011739577167459643,0.8579208257596659,0.1146134942652961,-0.05279800304290294,1.4461036692914824
0.06,30,C,0.14602085014191712,1.4586662815489637,-0.1522935616224521,5.155189531023534,-0.013999510022481353,0.7660116959064328,0.23110261712234093,-0.15229356162245222,4.39891170125814,0.05836394185879912,-0.118554064010163,5.878449739441154,-0.012556988214457096,0.8531597354056055,0.12086556929781866,-0.07077311673073483,1.888326566774705
0.06,30,D,0.16574116076496193,1.4854487182968577,-0.15281902925275892,4.882988768482915,-0.01535071392467058,0.85,0.2530704461993616,-0.14117622258978424,4.4793335436327375,0.075828008113217,-0.15281902925275903,5.29149485675248,-0.014504934093976938,0.8673820546619948,,,
0.06,50,N0,0.14337764365650996,1.4297116669737122,-0.15603660969237199,5.359121866346898,-0.014113128742117991,0.7669473684210527,0.22802264710751685,-0.15603660969237187,4.657738027200606,0.056152712151775086,-0.1201323628544676,6.0394157054944335,-0.01260276236001778,0.8386946808764224,0.11811036633395866,-0.07077311673073494,1.9079271939598752
0.06,50,A,0.1461077488539222,1.4025254018097977,-0.15603660969237199,5.284148587340953,-0.014616502179752744,0.8022171052631579,0.23119563589846925,-0.15603660969237187,4.604617062951457,0.05844451039971088,-0.13360561200842058,5.944587234111096,-0.01362763341592884,0.8246707784467415,0.17411343676157776,-0.05599558212148137,1.8576087944736002
0.06,50,B,0.1407349786315777,1.4458382513502464,-0.15603660969237199,5.4403396835390545,-0.013819443698458087,0.7336907894736843,0.22484305525973824,-0.15603660969237187,4.719131410481206,0.05403788086524597,-0.10967015079493092,6.138808587156788,-0.011788358762737938,0.846502852875965,0.11091671765356015,-0.05279800304290305,1.4719671495044793
0.06,50,C,0.14395491572344454,1.439443881659768,-0.15272339288965986,5.260019744405865,-0.014018696056002457,0.7660116959064328,0.22912168405592603,-0.15272339288965986,4.4413816050044925,0.056228372194957243,-0.12013236285446749,6.0367141564595,-0.012596683456224863,0.843691125942174,0.11809769610768761,-0.07077311673073472,1.9103800436211824
0.06,50,D,0.16574116076496193,1.4854487182968577,-0.15281902925275892,4.882988768482915,-0.01535071392467058,0.85,0.2530704461993616,-0.14117622258978424,4.4793335436327375,0.075828008113217,-0.15281902925275903,5.29149485675248,-0.014504934093976938,0.8673820546619948,,,
