cash_annual,cost_bps,candidate,horizon_days,phase_offset,aggregate,cagr_full,sharpe_full,max_dd_full,ulcer_full,cvar5_full,dsr,cagr_disc,sharpe_disc,cagr_conf,sharpe_conf,max_dd_conf,ulcer_conf,phase_top2_sharpe,cost_drag
0.0,15,H21,21,-2,worst,0.0747916687768242,0.8824630839821184,-0.15834464128842218,8.573760749734685,-0.012740116920989161,,,,0.025115698735987957,0.3392614038244107,-0.15322045272066476,8.868372950901305,,
0.0,15,H42,42,0,phase,0.10139628866035322,1.141989320023773,-0.12943449877652513,6.317760842222975,-0.013212947369330248,0.5795140637363911,0.11089742232618183,1.1577739731058512,0.03706493023354129,0.48689806993557627,-0.12943449877652524,6.59411177691094,,
0.0,15,H42,42,10,phase,0.11522299386050028,1.2339039311797357,-0.13655682514129341,5.015308255471234,-0.01361297020569264,0.6325674957703763,0.13241685580501894,1.3210791799786314,0.0826505097182646,0.9496869825860592,-0.1128527399658854,5.695481642218425,,
0.0,15,H42,42,21,phase,0.1064885119714647,1.1764055944561598,-0.14817127536798524,7.231750481476958,-0.012648610092615776,0.608422053138914,0.14282384995423203,1.5373316203549006,0.05585056451515946,0.6415835230944189,-0.14817127536798524,8.644829114838474,,
0.0,15,H42,42,31,phase,0.07190782081190306,0.8092091154318791,-0.18562422587859573,8.548114619960122,-0.01344536756410903,0.3150482376402848,0.09238121051950965,1.0202214331398207,0.01987882133782448,0.25353654793193364,-0.18562422587859562,11.096794723335613,,
0.0,15,H42,42,-1,median,0.10394240031590896,1.1591974572399664,-0.14236405025463933,6.774755661849966,-0.01332915746671964,0.5939680584376525,0.12165713906560038,1.2394265765422414,0.04645774737435038,0.5642407965149976,-0.13880288707225524,7.619470445874708,0.5,0.00962378864458946
0.0,15,H42,42,-2,worst,0.07190782081190306,0.8092091154318791,-0.18562422587859573,8.548114619960122,-0.01361297020569264,,,,0.01987882133782448,0.25353654793193364,-0.18562422587859562,11.096794723335613,,
0.0,15,H84,84,0,phase,0.09740008022791513,1.074833276779779,-0.13869817770944626,6.139628014121787,-0.01352545052025962,0.4920191551890254,0.17708655384114347,1.5732840341614647,0.023108226115003072,0.3656370215824946,-0.12299522449118705,6.864655242612557,,
0.0,15,H84,84,21,phase,0.1265738334935238,1.3339433585488658,-0.14971849677720384,6.535193713424237,-0.013304331709258795,0.7238671224464056,0.16275651206366337,1.6986784493861824,0.08578128674997498,0.9213179142078894,-0.14971849677720395,8.043769685286971,,
0.0,15,H84,84,42,phase,0.09414615340494303,0.9971544514559506,-0.13535683783874475,5.590469130064022,-0.014658474918380548,0.4630365305398384,0.08105019449425277,0.9274571279485725,0.043305076996116965,0.4745899547797472,-0.13535683783874453,6.055037777826676,,
0.0,15,H84,84,63,phase,0.13069073975769774,1.4505091267732986,-0.1625561320190888,5.807126998614163,-0.012219352091823395,0.7654538269856311,0.19385976186172638,1.9944494810108486,0.06376097703002515,0.753970153452326,-0.1625561320190887,8.476701191167688,,
0.0,15,H84,84,-1,median,0.11198695686071947,1.2043883176643224,-0.14420833724332505,5.973377506367975,-0.013414891114759207,0.6079431388177154,0.16992153295240342,1.6359812417738235,0.053533027013071055,0.6142800541160366,-0.14253766730797424,7.454212463949764,0.5,0.006517418794474872
0.0,15,H84,84,-2,worst,0.09414615340494303,0.9971544514559506,-0.1625561320190888,6.535193713424237,-0.014658474918380548,,,,0.023108226115003072,0.3656370215824946,-0.1625561320190887,8.476701191167688,,
0.0,30,N0,63,0,phase,0.11052702455238594,1.14124679376631,-0.15898894980656297,6.07407806817111,-0.014050483451901232,0.5709409842024972,0.1755498536446536,1.5570017683395436,0.04166535778910019,0.5465652156270686,-0.12465508562528493,6.886241790417557,,
0.0,30,N0,63,15,phase,0.10789182233525363,1.2604690935475489,-0.16957203051413217,6.602112486078902,-0.011824237880760854,0.6636518805308641,0.13131799567626734,1.6270984962575932,0.03021206430531076,0.3813812313249748,-0.16957203051413205,9.205805246466069,,
0.0,30,N0,63,31,phase,0.09344145207782173,1.0453709660613133,-0.16192764395085102,6.236876656351539,-0.0133386089561369,0.4940890395100271,0.16146522134931862,1.6833035476980964,0.012695821769449278,0.185359499130367,-0.16192764395085113,8.484267462713273,,
0.0,30,N0,63,47,phase,0.12297053069574959,1.3012405663680953,-0.1467872645564714,6.671748824419596,-0.013186618592120362,0.6652561458848048,0.12916788810282065,1.4314099049664002,0.10984808687182612,1.0864449075785092,-0.1467872645564715,8.252652140185845,,
0.0,30,N0,63,-1,median,0.10920942344381979,1.2008579436569295,-0.160458296878707,6.419494571215221,-0.013262613774128632,0.6172964323666806,0.14639160851279298,1.5920501322985685,0.035938711047205474,0.4639732234760217,-0.15435745425366132,8.368459801449559,1.0,0.007409124899756314
0.0,30,N0,63,-2,worst,0.09344145207782173,1.0453709660613133,-0.16957203051413217,6.671748824419596,-0.014050483451901232,,,,0.012695821769449278,0.185359499130367,-0.16957203051413205,9.205805246466069,,
0.0,30,H21,21,0,phase,0.06817271275142134,0.8247637914749727,-0.1637576717122461,8.963327316239868,-0.0122911285767548,0.3332505638677188,0.07382822071032935,0.865715522813999,0.018273816406670695,0.2591292889653289,-0.15891320311814616,9.208672427722423,,
0.0,30,H21,21,5,phase,0.06984570977410831,0.8489356757143399,-0.14317162447863774,7.349656155207833,-0.012278443476847875,0.34520226029395173,0.06652654367737809,0.8018605339498676,0.046454869137529275,0.5737973473450257,-0.14317162447863763,7.057860957304721,,
0.0,30,H21,21,10,phase,0.06853594438797894,0.8133158223470879,-0.13676171306464502,6.781175378947996,-0.012824526630661392,0.31853651521606713,0.07225890400546531,0.8276930369148637,0.03522266647217176,0.44493550854872543,-0.13676171306464513,7.606069549669331,,
0.0,30,H21,21,15,phase,0.08043842212918295,0.9737503881182218,-0.15606874469136933,6.612671807049816,-0.011980015007342837,0.4436993972956201,0.10053976653967878,1.2719177738781433,0.02697338306913033,0.3426868642477133,-0.15606874469136944,8.860360970864555,,
0.0,30,H21,21,-1,median,0.06919082708104363,0.8368497335946563,-0.14962018458500354,7.065415767077914,-0.012284786026801338,0.33922641208083526,0.07304356235789733,0.8467042798644313,0.031098024770651045,0.3938111863982193,-0.14962018458500354,8.233215260266944,0.0,0.015300931010702623
0.0,30,H21,21,-2,worst,0.06817271275142134,0.8133158223470879,-0.1637576717122461,8.963327316239868,-0.012824526630661392,,,,0.018273816406670695,0.2591292889653289,-0.15891320311814616,9.208672427722423,,
0.0,30,H42,42,0,phase,0.09732234899446168,1.1003206404094596,-0.13361800682338731,6.441334127491127,-0.013226639312957804,0.5464729035091258,0.10707291112288386,1.1214026497798812,0.032996311612149665,0.4389777349819206,-0.13361800682338743,6.751867743249209,,
0.0,30,H42,42,10,phase,0.1110721347816308,1.19203602978102,-0.13701209011620286,5.157039996922066,-0.013659688769349997,0.600986316968003,0.12803591094311817,1.2805501977662601,0.07867985529689947,0.9064007421091086,-0.11462731468878617,5.881758232881642,,
0.0,30,H42,42,21,phase,0.10229687499336348,1.1336858881257887,-0.1498899034808554,7.40316616070196,-0.012648610092615753,0.5743772165468856,0.13827886188244976,1.4916101254954781,0.05196161761668128,0.6012500024300391,-0.1498899034808554,8.84916520126448,,
0.0,30,H42,42,31,phase,0.06782619809264157,0.7668151002877982,-0.18652068900677232,8.707410290980564,-0.013492469559956241,0.2845651487355668,0.08855124691641181,0.9803826024665698,0.015674695552259976,0.21035209241854738,-0.1865206890067722,11.298978941867894,,
0.0,30,H42,42,-1,median,0.09980961199391258,1.1170032642676242,-0.14345099679852913,6.922250144096544,-0.013359554436457022,0.5604250600280056,0.11755441103300102,1.2009764237730707,0.04247896461441547,0.5201138687059799,-0.1417539551521214,7.800516472256844,0.5,0.00962378864458946
0.0,30,H42,42,-2,worst,0.06782619809264157,0.7668151002877982,-0.18652068900677232,8.707410290980564,-0.013659688769349997,,,,0.015674695552259976,0.21035209241854738,-0.1865206890067722,11.298978941867894,,
0.0,30,H84,84,0,phase,0.09481354070675851,1.0484454789816304,-0.13869817770944626,6.215477767674178,-0.013525450520259632,0.4715202614412586,0.17428872751059177,1.5509549923845443,0.020717188911326012,0.33154929851547654,-0.12377713162381676,6.954437158632633,,
0.0,30,H84,84,21,phase,0.12356824782057862,1.3051102681758688,-0.15145226145180757,6.660390960586522,-0.013309147250967237,0.7039729580656995,0.15991267347835958,1.6718922132861862,0.08260322198468084,0.8901926569930085,-0.15145226145180757,8.217814164457367,,
0.0,30,H84,84,42,phase,0.09145400998405373,0.9715130660979517,-0.1382690163786533,5.707868924362164,-0.014677227549544895,0.4422282548332977,0.07859188949715601,0.9016255411549894,0.04061424589387652,0.4488911248353726,-0.1382690163786534,6.193733873186145,,
0.0,30,H84,84,63,phase,0.12789001923756382,1.4215484794083333,-0.1633276526578078,5.881099789180008,-0.012219352091823397,0.7475603883950024,0.19111795465554482,1.9677685617115257,0.06103169223334537,0.724329555934539,-0.1633276526578079,8.581011462809492,,
0.0,30,H84,84,-1,median,0.10919089426366857,1.1767778735787497,-0.1450752195806269,6.048288778427093,-0.013417298885613434,0.587746609753479,0.16710070049447567,1.6114236028353652,0.050822969063610945,0.5866103403849557,-0.1448606389152305,7.586125661545,0.5,0.006517418794474872
0.0,30,H84,84,-2,worst,0.09145400998405373,0.9715130660979517,-0.1633276526578078,6.660390960586522,-0.014677227549544895,,,,0.020717188911326012,0.33154929851547654,-0.1633276526578079,8.581011462809492,,
0.0,50,N0,63,0,phase,0.1060767580592954,1.0986351020407552,-0.16007805951799547,6.25097233221827,-0.014076638829436149,0.5369889338966514,0.17081243825863646,1.5192270008931157,0.0375175412564992,0.4963003663854508,-0.12688079622247905,7.111653335724463,,
0.0,50,N0,63,15,phase,0.10388315379163382,1.215831430973746,-0.171376647239199,6.753900484176804,-0.011849686805516442,0.6299955711226521,0.12764477783267547,1.5857461611056851,0.026157633398829816,0.33599109747086126,-0.17137664723919888,9.414194886499045,,
0.0,50,N0,63,31,phase,0.08944372553980018,1.0035421768876818,-0.16262059353540237,6.383171096016148,-0.013368056777414896,0.4602841149129814,0.15729240518604648,1.6418669481871377,0.009110019623855603,0.14583481699562462,-0.16262059353540248,8.681921768305111,,
0.0,50,N0,63,47,phase,0.11829771390004096,1.2552551254115125,-0.14802288941714103,6.80452929749147,-0.013210512930339128,0.6316759541301996,0.12483223277469913,1.3844297575575897,0.10479458292814825,1.0415147949252828,-0.14802288941714115,8.419702957223448,,
0.0,50,N0,63,-1,median,0.10497995592546461,1.1572332665072507,-0.16134932652669892,6.568535790096476,-0.013289284853877013,0.5834922525096518,0.14246859150936098,1.5524865809994004,0.03183758732766451,0.416145731928156,-0.1553217414762718,8.55081236276428,1.0,0.007409124899756314
0.0,50,N0,63,-2,worst,0.08944372553980018,1.0035421768876818,-0.171376647239199,6.80452929749147,-0.014076638829436149,,,,0.009110019623855603,0.14583481699562462,-0.17137664723919888,9.414194886499045,,
0.0,50,H21,21,0,phase,0.05844595709754441,0.7159822067357243,-0.1709281749541196,9.49356812243954,-0.012308424878245216,0.25534631435369226,0.0640927943420806,0.7593695932575827,0.009215239618108662,0.15182832071274582,-0.16897910340000943,9.66576330207572,,
0.0,50,H21,21,5,phase,0.06111169868025934,0.7499107967408889,-0.14628386412912442,7.752828694699714,-0.012313218212318908,0.27324444982881685,0.057740024808769386,0.702902587151764,0.03765729442339394,0.4748881163030733,-0.14628386412912464,7.428191730820376,,
0.0,50,H21,21,10,phase,0.0602455569325544,0.7209480785844624,-0.13973031789317658,7.123453128673553,-0.012947918635511133,0.2537769349376377,0.06386500931449945,0.7378804135585801,0.026813868662326268,0.3493408380975264,-0.13973031789317625,8.010619518627475,,
0.0,50,H21,21,15,phase,0.07087272238035891,0.8649160038598307,-0.16529952316693386,6.972787067684469,-0.01201510938524509,0.35709629271318677,0.09074981033600782,1.1567509372782752,0.0178876895062543,0.2426006124328668,-0.1652995231669342,9.32787233175978,,
0.0,50,H21,21,-1,median,0.06067862780640687,0.7354294376626757,-0.15579169364802914,7.4381409116866335,-0.012310821545282062,0.2642953820912546,0.06397890182829002,0.7486250034080815,0.022350779084290284,0.29597072526519663,-0.15579169364802942,8.669245925193628,0.0,0.015300931010702623
0.0,50,H21,21,-2,worst,0.05844595709754441,0.7159822067357243,-0.1709281749541196,9.49356812243954,-0.012947918635511133,,,,0.009215239618108662,0.15182832071274582,-0.16897910340000943,9.66576330207572,,
0.0,50,H42,42,0,phase,0.09190919780961071,1.04413664518281,-0.13916932539941196,6.626278315244892,-0.013264719913038752,0.5013226301997771,0.10198959672458918,1.072430587061849,0.027591657412632253,0.37471965566739124,-0.13916932539941218,6.9649492889818765,,
0.0,50,H42,42,10,phase,0.10555686896095029,1.135792134311689,-0.13761911008274885,5.350880023590769,-0.013741702939032532,0.5574190785435005,0.12221553282236752,1.2259955791009174,0.07340395651680076,0.8484818594523509,-0.11698993151581372,6.1363731732415925,,
0.0,50,H42,42,21,phase,0.09672802553302828,1.0761975012627107,-0.15217783477222568,7.633642852337497,-0.012661272370473035,0.5276491357874358,0.13224161476420737,1.4299422040696037,0.04679445686877304,0.5471792481569446,-0.15217783477222546,9.12373124656474,,
0.0,50,H42,42,31,phase,0.062403697655961654,0.7100193417593899,-0.18771523926281752,8.92095892067086,-0.013571361852639581,0.24604539154324578,0.0834616527822285,0.9270275589843465,0.010091263856847332,0.15269332979393704,-0.18771523926281752,11.569379826003285,,
0.0,50,H42,42,-1,median,0.0943186116713195,1.0601670732227604,-0.14567358008581882,7.129960583791194,-0.013418040882839165,0.5144858829936064,0.11210256477347835,1.1492130830813831,0.037193057140702646,0.46094945191216796,-0.14567358008581882,8.044340267773308,0.5,0.00962378864458946
0.0,50,H42,42,-2,worst,0.062403697655961654,0.7100193417593899,-0.18771523926281752,8.92095892067086,-0.013741702939032532,,,,0.010091263856847332,0.15269332979393704,-0.18771523926281752,11.569379826003285,,
