stop_pct,asof,symbol,reason,exit_ret_pct,hold_to_mature_pct,hold_minus_exit_pp,post_exit_max_recovery_pct,false_exit
0.05,2024-01-15,BHARTIARTL,DD -6.4% at bar 14,2.871008708272847,14.81767053701015,11.946661828737303,11.613244565936242,True
0.05,2024-01-15,ASIANPAINT,DD -7.3% at bar 6,-8.38296832523902,-14.239897370109052,-5.856929044870032,0.5984430478921166,False
0.05,2024-01-15,MRF,DD -5.9% at bar 8,5.477941176470588,-4.976838235294117,-10.454779411764704,5.071453468107356,True
0.05,2024-01-15,GRASIM,DD -5.0% at bar 15,0.4997620180866254,5.951927653498343,5.452165635411718,9.228036940563577,True
0.05,2024-01-15,TCS,DD -5.7% at bar 45,1.7188380552282367,-1.070751575388088,-2.789589630616325,0.8159359339192651,False
0.05,2024-01-15,HINDZINC,DD -6.2% at bar 41,-5.454545454545458,25.858585858585855,31.31313131313131,41.99539776462853,True
0.05,2024-04-18,HINDUNILVR,DD -5.6% at bar 42,12.073324905183295,23.12624164710131,11.052916741918015,10.321489001692052,True
0.05,2024-04-18,ASIANPAINT,DD -8.9% at bar 14,-1.2982156213270584,4.927520746518516,6.225736367845574,9.05006765899865,True
0.05,2024-04-18,BATAINDIA,DD -5.2% at bar 14,-2.5641025641025674,13.415950280972051,15.980052845074619,17.687724390802863,True
0.05,2024-04-18,KOTAKBANK,DD -10.9% at bar 5,-9.97621379599833,1.9504687281376718,11.926682524136002,15.212931302455711,True
0.05,2024-04-18,ICICIBANK,DD -5.0% at bar 28,5.518972949926571,18.304988393576203,12.786015443649632,12.265421567747147,True
0.05,2024-04-18,SUNPHARMA,DD -5.1% at bar 26,-3.3962015299393298,3.4456607755209707,6.8418623054603005,9.12348965799712,True
0.05,2024-04-18,RELIANCE,DD -5.3% at bar 12,-3.1263444715330544,6.202153886077603,9.328498357610657,12.85467554897608,True
0.05,2024-04-18,VINATIORGA,DD -5.3% at bar 15,-4.104990080878987,17.616358919578815,21.721349000457803,25.499681731381287,True
0.05,2024-04-18,MARUTI,DD -6.3% at bar 32,0.7867795243853314,0.961708988311159,0.17492946392582764,2.887799337737751,False
0.05,2024-04-18,DRREDDY,DD -7.4% at bar 14,-0.6068338047556313,11.39554988543179,12.00238369018742,14.756797838203006,True
0.05,2024-04-18,BHARTIARTL,DD -6.6% at bar 32,6.209757061031002,15.48489038119692,9.275133320165917,10.361884925800592,True
0.05,2024-04-18,ULTRACEMCO,DD -5.4% at bar 14,1.1611734299645704,19.989342143827763,18.828168713863192,25.421684208308303,True
0.05,2024-04-18,TCS,DD -6.1% at bar 29,-4.9469186949767,11.403417918177102,16.3503366131538,17.559487326168988,True
0.05,2024-04-18,GRASIM,DD -5.1% at bar 14,6.787808000718758,23.22274881516587,16.43494081444711,19.62854678922239,True
0.05,2024-07-19,ITC,DD -5.9% at bar 56,3.687679340028692,2.560078909612629,-1.127600430416063,1.3209953948932984,False
0.05,2024-07-19,ASIANPAINT,DD -6.9% at bar 52,4.292187844741258,1.5648071146110862,-2.7273807301301716,0.5061025223759286,False
0.05,2024-07-19,BATAINDIA,DD -6.5% at bar 12,-3.796429977687355,-3.8620553878461683,-0.0656254101588134,0.12960878611139037,False
0.05,2024-07-19,HINDUNILVR,DD -5.9% at bar 53,3.901723505683905,-0.3630363036303664,-4.264759809314271,0.0,False
0.05,2024-07-19,INFY,DD -6.8% at bar 11,-2.3341420563875253,4.832817423798759,7.166959480186284,12.39221061047342,True
0.05,2024-07-19,SBICARD,DD -5.5% at bar 11,-2.7762315613693356,2.9988867241859105,5.775118285555246,15.250840907464402,True
0.05,2024-07-19,DRREDDY,DD -5.2% at bar 33,0.4694092827004233,1.5837854128993356,1.1143761301989124,1.242659907156729,False
0.05,2024-07-19,PIIND,DD -5.7% at bar 62,18.913774672124728,18.913774672124728,0.0,0.0,False
0.05,2024-07-19,TCS,DD -5.5% at bar 11,-3.0494607660840423,-4.168603570100397,-1.119142804016355,9.171221710778688,True
0.05,2024-07-19,HDFCBANK,DD -5.7% at bar 52,3.1332047533130174,4.638835313880417,1.5056305605673996,2.5421377121967126,False
0.05,2024-07-19,PIDILITIND,DD -6.2% at bar 54,1.6109686227972795,1.5707741581492611,-0.040194464648018347,0.0,False
0.05,2024-07-19,APOLLOHOSP,DD -6.4% at bar 53,6.129787917486032,9.416400943285357,3.2866130257993245,5.418453747517771,True
0.05,2024-07-19,MRF,DD -5.4% at bar 13,9.575132752721874,1.0311141082181934,-8.54401864450368,0.41480416734482883,False
0.05,2024-07-19,EICHERMOT,DD -5.7% at bar 10,-3.606695940792047,-1.753355185849469,1.8533407549425782,8.27353900443779,True
0.05,2024-10-18,RELAXO,DD -5.3% at bar 5,-4.9293523432005575,-26.04692794578351,-21.117575602582953,5.11768661735037,True
0.05,2024-10-18,SUNPHARMA,DD -5.3% at bar 11,-5.587981259978538,-6.9149632266338585,-1.3269819666553202,4.787646928365508,False
0.05,2024-10-18,DRREDDY,DD -5.5% at bar 7,-7.296286956134764,-3.4022637255047483,3.8940232306300153,11.169340320838517,True
0.05,2024-10-18,NESTLEIND,DD -5.1% at bar 18,-7.125169130223891,-5.7976564295014255,1.3275127007224654,4.176287337364837,False
0.05,2024-10-18,APOLLOHOSP,DD -5.5% at bar 17,-1.776482550229837,-2.8934969711724254,-1.1170144209425885,8.425610707334318,True
0.05,2024-10-18,ITC,DD -5.2% at bar 19,-4.139890710382513,-4.3278688524590185,-0.18797814207650543,4.822601240423197,False
0.05,2024-10-18,TCS,DD -6.8% at bar 43,0.8549496125441117,-1.0974885097197462,-1.952438122263858,3.1936127744510934,False
0.05,2024-10-18,SBICARD,DD -6.6% at bar 5,-9.80882253597244,2.8845504289671045,12.693372964939545,14.073852145906685,True
0.05,2024-10-18,PIDILITIND,DD -6.1% at bar 18,-5.097361809045232,-12.444723618090446,-7.347361809045214,6.336168382036611,True
0.05,2024-10-18,ASIANPAINT,DD -5.3% at bar 12,-3.1699613989940314,-23.78223016894206,-20.61226876994803,0.0,False
0.05,2024-10-18,INFY,DD -6.5% at bar 9,-6.317833581613109,-3.5273462438816745,2.7904873377314345,13.564471704006586,True
0.05,2024-10-18,SHREECEM,DD -5.1% at bar 18,-0.9601134623487909,3.3740660424867164,4.334179504835507,17.684513753699417,True
0.05,2024-10-18,MRF,DD -5.2% at bar 5,-4.9084299737378085,-12.096328430723084,-7.187898456985275,8.241304498827894,True
0.05,2024-10-18,EICHERMOT,DD -7.4% at bar 18,2.477101759466184,5.268955966132645,2.791854206666461,8.744394618834095,True
